,Intercept,MODE[T.STANDARD],MACHINE[T.RevEVO],MACHINE[T.zIngCT],MACHINE[T.RevEVO]:MODE[T.STANDARD],MACHINE[T.zIngCT]:MODE[T.STANDARD],CURR,MACHINE[T.RevEVO]:CURR,MACHINE[T.zIngCT]:CURR,VOLT,MACHINE[T.RevEVO]:VOLT,MACHINE[T.zIngCT]:VOLT,FOV
original_glszm_LowGrayLevelZoneEmphasis_Complete,0.0,4.8597962978613565e-27,0.012158342841192252,0.01061596758037059,7.43706397012969e-05,3.077717111141819e-08,0.15956159890009136,0.02427116232422501,0.4216020860330769,0.7841233220295097,0.06773062171899083,0.04043729910809101,3.149789684509185e-05
original_glszm_SizeZoneNonUniformity_Complete,1.658526474632945e-32,4.337155944040205e-27,0.09214615707772193,8.874093150921678e-12,1.1560355624276876e-10,6.489658975528739e-11,0.5580178094439693,0.666911402759848,0.4464071985839614,0.1269751395186797,0.0009450570114225318,3.446328762009502e-12,1.3248083118617989e-11
original_glszm_SizeZoneNonUniformityNormalized_Complete,0.0,1.723536737025621e-53,0.16116553690849889,2.589237391113985e-13,1.6324417151534809e-16,5.0024746779021725e-08,0.8985634058362143,0.720969650590634,0.5395892847547286,0.2934400200051491,0.007994510602942385,1.6200805903481256e-13,1.9419734691974818e-11
original_glszm_SmallAreaEmphasis_Complete,0.0,3.6805367544372866e-66,0.13052531033695766,1.2028017278923106e-13,3.351069441816677e-20,1.2590237172937918e-08,0.9046688931096807,0.6790457485467627,0.5288719672562554,0.22616838760338764,0.004379755173930391,8.979885609939783e-14,9.093808875658781e-13
original_glszm_SmallAreaHighGrayLevelEmphasis_Complete,3.1866542805695876e-08,1.147144125629295e-07,0.2432474614718543,9.628703795871524e-07,0.015378853244178375,5.65622847114029e-05,0.6397227189021102,0.37367150425138596,0.5200285910898932,0.31556179948662305,0.19690756410412147,9.457388692261013e-07,0.0007524085796502982
original_glszm_SmallAreaLowGrayLevelEmphasis_Complete,0.0,1.66733603953203e-20,0.01366136093029296,0.016622712759911038,0.0009245950382919089,2.6680036922059016e-08,0.15495258636921797,0.02444544287078902,0.4218210721186897,0.7710163023670112,0.08748750793847372,0.0617752158446783,0.00021072125792808167
original_glszm_ZoneEntropy_Complete,1.7825582723049955e-122,3.93534545649365e-22,0.08574743403748313,0.0005689627995118781,2.2681509910549336e-09,0.801101551003432,0.88554653878953,0.668181940572204,0.6378154918191852,5.09806946870405e-20,0.07983145299718133,0.0068479562529005205,0.1477318374319574
original_glszm_ZonePercentage_Complete,0.0,1.4653043352857738e-110,0.0061595656429983105,1.2746060895536968e-18,7.79551525484274e-22,1.4137317106806098e-29,0.26033365617996695,0.21899150948810941,0.31554084108722646,0.0074764537223361485,2.289270933807914e-06,2.123326048468816e-19,1.7513680108590604e-27
original_glszm_ZoneVariance_Complete,0.009856004810235615,9.666633464036358e-05,0.3901949786870488,0.002937615380239437,0.7670577458558404,1.0731079548977187e-11,0.4504588858326266,0.8073359629881025,0.42631035469394396,0.11383915960957607,0.23520678679441157,0.0016084263978341055,0.0005514441136254469
original_ngtdm_Busyness_Complete,0.023969913619788025,3.441536844031098e-07,0.2535274323084816,0.018255828765444706,0.963801948950982,6.5270231855868584e-15,0.4631447070669841,0.014981987967041492,0.43945390206905033,6.242711854678459e-10,0.569725769066546,0.06658684219319089,2.0312717320215353e-07
original_ngtdm_Coarseness_Complete,0.0,3.6362873588765547e-186,8.725654595510229e-07,2.7217296813025003e-14,1.8122686039176184e-52,0.06281998430320646,0.6082002659065853,0.9080515318860862,0.8462602516064902,1.144272850561562e-20,9.317663581899296e-11,2.8133265284753655e-15,6.675181008007595e-05
original_ngtdm_Complexity_Complete,0.00014362200780110247,0.0017861380900832465,0.7835957843895461,1.0675200843215794e-05,0.12308626044435227,0.0014936130666464353,0.8968357055735745,0.9146401189049308,0.8694192238101643,0.07074949673174735,0.5121947125979293,3.4722652210771255e-06,0.003158460748056485
original_ngtdm_Contrast_Complete,0.0,1.0663603338886925e-37,0.00031873607448194347,7.835171008902931e-14,1.1284518528052496e-16,0.0005910153944920362,0.8534814175299756,0.9616046072575443,0.7012911231951892,0.12644312482925568,2.1413854239212724e-08,2.1449355493973363e-17,1.064417090601955e-05
original_ngtdm_Strength_Complete,4.244264035427067e-51,0.013193476698485612,0.003975909101161065,0.31677242080725754,0.3340223135412107,2.6620341958757615e-05,0.7864700873865997,0.8337351167528875,0.959055532266989,5.420407909167788e-21,0.0007440528956536961,0.21342125238645285,0.006541137639446571
