,0,1,2,3
original_shape_Maximum3DDiameter_Complete,-2.886698525100019e-16,-2.886698525100019e-16,-4.536240539442888e-16,-4.536240539442888e-16
original_shape_MeshVolume_L1,-1.4779896448512098e-13,-1.4779896448512098e-13,-1.9002724005229841e-13,-1.9002724005229841e-13
original_shape_MeshVolume_L2,-2.9559792897024196e-13,-2.9559792897024196e-13,-1.4779896448512098e-13,-1.4779896448512098e-13
original_shape_MeshVolume_L3,-2.7448379118665324e-13,-2.7448379118665324e-13,-2.1114137783588713e-13,-2.1114137783588713e-13
original_shape_MeshVolume_L4,-2.1114137783588713e-13,-2.1114137783588713e-13,-1.689131022687097e-13,-1.689131022687097e-13
original_shape_MeshVolume_L5,-1.2668482670153226e-13,-1.2668482670153226e-13,-1.9002724005229841e-13,-1.9002724005229841e-13
original_shape_MeshVolume_Complete,-1.689131022687097e-12,-1.689131022687097e-12,-3.378262045374194e-13,-3.378262045374194e-13
original_shape_MinorAxisLength_L1,-1.6495420143428681e-16,-1.6495420143428681e-16,-1.6495420143428681e-16,-1.6495420143428681e-16
original_shape_MinorAxisLength_L2,-4.1238550358571703e-17,-4.1238550358571703e-17,-1.0309637589642926e-16,-1.0309637589642926e-16
original_shape_MinorAxisLength_L3,-1.237156510757151e-16,-1.237156510757151e-16,-1.237156510757151e-16,-1.237156510757151e-16
original_shape_MinorAxisLength_L4,-1.237156510757151e-16,-1.237156510757151e-16,-1.6495420143428681e-16,-1.6495420143428681e-16
original_shape_MinorAxisLength_L5,-1.134060134860722e-16,-1.134060134860722e-16,-8.247710071714341e-17,-8.247710071714341e-17
original_shape_MinorAxisLength_Complete,-1.4433492625500096e-16,-1.4433492625500096e-16,-1.237156510757151e-16,-1.237156510757151e-16
original_shape_Sphericity_L1,-9.665285240290242e-19,-9.665285240290242e-19,-8.054404366908536e-19,-8.054404366908536e-19
original_shape_Sphericity_L2,-4.832642620145121e-19,-4.832642620145121e-19,-8.054404366908536e-19,-8.054404366908536e-19
original_shape_Sphericity_L3,-5.638083056835975e-19,-5.638083056835975e-19,-4.027202183454268e-19,-4.027202183454268e-19
original_shape_Sphericity_L4,-8.054404366908536e-19,-8.054404366908536e-19,-9.665285240290242e-19,-9.665285240290242e-19
original_shape_Sphericity_L5,-4.832642620145121e-19,-4.832642620145121e-19,-1.6108808733817072e-19,-1.6108808733817072e-19
original_shape_Sphericity_Complete,-5.638083056835975e-19,-5.638083056835975e-19,-3.2217617467634143e-19,-3.2217617467634143e-19
original_shape_SurfaceArea_L1,-4.7506810013074604e-14,-4.7506810013074604e-14,-1.0557068891794356e-14,-1.0557068891794356e-14
original_shape_SurfaceArea_L2,-5.806387890486896e-14,-5.806387890486896e-14,-4.7506810013074604e-14,-4.7506810013074604e-14
original_shape_SurfaceArea_L3,-2.6392672229485892e-14,-2.6392672229485892e-14,-5.278534445897178e-15,-5.278534445897178e-15
original_shape_SurfaceArea_L4,-3.1671206675383065e-14,-3.1671206675383065e-14,-5.2785344458971783e-14,-5.2785344458971783e-14
original_shape_SurfaceArea_L5,-3.6949741121280244e-14,-3.6949741121280244e-14,-5.278534445897178e-15,-5.278534445897178e-15
original_shape_SurfaceArea_Complete,-1.2668482670153226e-13,-1.2668482670153226e-13,-8.445655113435485e-14,-8.445655113435485e-14
original_shape_SurfaceVolumeRatio_L1,-2.4163213100725605e-19,-2.4163213100725605e-19,-4.832642620145121e-19,-4.832642620145121e-19
original_shape_SurfaceVolumeRatio_L2,-4.832642620145121e-19,-4.832642620145121e-19,-4.832642620145121e-19,-4.832642620145121e-19
original_shape_SurfaceVolumeRatio_L3,-5.638083056835975e-19,-5.638083056835975e-19,-1.6108808733817072e-19,-1.6108808733817072e-19
original_shape_SurfaceVolumeRatio_L4,-3.2217617467634143e-19,-3.2217617467634143e-19,-3.2217617467634143e-19,-3.2217617467634143e-19
original_shape_SurfaceVolumeRatio_L5,-7.248963930217682e-19,-7.248963930217682e-19,-5.638083056835975e-19,-5.638083056835975e-19
original_shape_SurfaceVolumeRatio_Complete,-2.4163213100725605e-19,-2.4163213100725605e-19,-1.6108808733817072e-19,-1.6108808733817072e-19
original_shape_VoxelVolume_L1,-1.2668482670153226e-13,-1.2668482670153226e-13,-2.9559792897024196e-13,-2.9559792897024196e-13
original_shape_VoxelVolume_L2,-6.334241335076613e-14,-6.334241335076613e-14,-6.334241335076613e-14,-6.334241335076613e-14
original_shape_VoxelVolume_L3,-2.7448379118665324e-13,-2.7448379118665324e-13,-2.1114137783588712e-14,-2.1114137783588712e-14
original_shape_VoxelVolume_L4,-2.3225551561947585e-13,-2.3225551561947585e-13,-2.1114137783588713e-13,-2.1114137783588713e-13
original_shape_VoxelVolume_L5,-6.334241335076613e-14,-6.334241335076613e-14,-1.4779896448512098e-13,-1.4779896448512098e-13
original_shape_VoxelVolume_Complete,-7.601089602091937e-13,-7.601089602091937e-13,-1.013478613612258e-12,-1.013478613612258e-12
original_firstorder_10Percentile_L1,0.027999999999999955,0.005999999999999934,0.04199999999999997,0.005999999999999903
original_firstorder_10Percentile_L2,0.02199999999999997,0.0019999999999999163,0.049999999999999975,0.0119999999999999
