,0,1,2,3
original_shape_Elongation_L1,0.9374623725313947,0.9374623725313947,0.9361070415284907,0.9361070415284907
original_shape_Elongation_L2,0.82386006491092,0.82386006491092,0.826609032210863,0.826609032210863
original_shape_Elongation_L3,0.7297438812545294,0.7297438812545294,0.7303540784874561,0.7303540784874561
original_shape_Elongation_L4,0.6669275616113163,0.6669275616113163,0.6682044294646694,0.6682044294646694
original_shape_Elongation_L5,0.6302635164523346,0.6302635164523346,0.6347412502167273,0.6347412502167273
original_shape_Elongation_Complete,0.43812779825570014,0.43812779825570014,0.4366035105605847,0.4366035105605847
original_shape_Flatness_L1,0.4842951571379728,0.4842951571379728,0.48431927079021186,0.48431927079021186
original_shape_Flatness_L2,0.48943486514333884,0.48943486514333884,0.4926973048459353,0.4926973048459353
original_shape_Flatness_L3,0.4823593292845245,0.4823593292845245,0.48299139184330087,0.48299139184330087
original_shape_Flatness_L4,0.4799327802375734,0.4799327802375734,0.4831259352024605,0.4831259352024605
original_shape_Flatness_L5,0.4402257733759658,0.4402257733759658,0.4438602304052385,0.4438602304052385
original_shape_Flatness_Complete,0.34497016134226116,0.34497016134226116,0.34468042426547635,0.34468042426547635
original_shape_LeastAxisLength_L1,39.287118993237414,39.287118993237414,39.37416081081957,39.37416081081957
original_shape_LeastAxisLength_L2,41.29581004087983,41.29581004087983,41.532257453504016,41.532257453504016
original_shape_LeastAxisLength_L3,43.02393775620401,43.02393775620401,42.8838560088533,42.8838560088533
original_shape_LeastAxisLength_L4,42.981055617555214,42.981055617555214,43.13145959733814,43.13145959733814
original_shape_LeastAxisLength_L5,38.11339883174043,38.11339883174043,38.21725701119523,38.21725701119523
original_shape_LeastAxisLength_Complete,67.18469970446729,67.18469970446729,67.19264579861684,67.19264579861684
original_shape_MajorAxisLength_L1,81.1222627651525,81.1222627651525,81.2979437026674,81.2979437026674
original_shape_MajorAxisLength_L2,84.37447550612416,84.37447550612416,84.29568630681064,84.29568630681064
original_shape_MajorAxisLength_L3,89.19478725542781,89.19478725542781,88.78803376844931,88.78803376844931
original_shape_MajorAxisLength_L4,89.5564074541418,89.5564074541418,89.27581082821258,89.27581082821258
original_shape_MajorAxisLength_L5,86.57693651023578,86.57693651023578,86.1020077791232,86.1020077791232
original_shape_MajorAxisLength_Complete,194.75510416047314,194.75510416047314,194.94186808492628,194.94186808492628
original_shape_Maximum2DDiameterColumn_L1,107.80661215806758,107.80661215806758,108.70256828736686,108.70256828736686
original_shape_Maximum2DDiameterColumn_L2,102.98664962022993,102.98664962022993,103.63635985253256,103.63635985253256
original_shape_Maximum2DDiameterColumn_L3,101.57547993979645,101.57547993979645,102.76933020708474,102.76933020708474
original_shape_Maximum2DDiameterColumn_L4,88.49876411566431,88.49876411566431,89.13276811276695,89.13276811276695
original_shape_Maximum2DDiameterColumn_L5,75.58366639029894,75.58366639029894,75.70272811322954,75.70272811322954
original_shape_Maximum2DDiameterColumn_Complete,191.34393118152445,191.34393118152445,191.97528268593555,191.97528268593555
original_shape_Maximum2DDiameterRow_L1,100.595880879885,100.595880879885,99.12359319552759,99.12359319552759
original_shape_Maximum2DDiameterRow_L2,104.43299287102725,104.43299287102725,104.71786908743319,104.71786908743319
original_shape_Maximum2DDiameterRow_L3,107.92430796627796,107.92430796627796,108.37522969410459,108.37522969410459
original_shape_Maximum2DDiameterRow_L4,106.78541567086775,106.78541567086775,104.55950655607514,104.55950655607514
original_shape_Maximum2DDiameterRow_L5,97.55006727317011,97.55006727317011,97.58689595566524,97.58689595566524
original_shape_Maximum2DDiameterRow_Complete,195.75574704207295,195.75574704207295,196.5573563759423,196.5573563759423
original_shape_Maximum2DDiameterSlice_L1,109.51954734201561,109.51954734201561,109.48399055892347,109.48399055892347
original_shape_Maximum2DDiameterSlice_L2,102.5685746220547,102.5685746220547,103.58935219146464,103.58935219146464
original_shape_Maximum2DDiameterSlice_L3,107.02292394622752,107.02292394622752,106.8923904823995,106.8923904823995
original_shape_Maximum2DDiameterSlice_L4,105.73034687354436,105.73034687354436,105.38286511480324,105.38286511480324
original_shape_Maximum2DDiameterSlice_L5,94.4267242363093,94.4267242363093,94.60571969990583,94.60571969990583
