,0,1,2,3
original_shape_Elongation_L1,0.9374623725313935,0.9374623725313935,0.9361070415284902,0.9361070415284902
original_shape_Elongation_L2,0.8238600649109198,0.8238600649109198,0.8266090322108628,0.8266090322108628
original_shape_Elongation_L3,0.7297438812545287,0.7297438812545287,0.7303540784874558,0.7303540784874558
original_shape_Elongation_L4,0.6669275616113158,0.6669275616113158,0.6682044294646687,0.6682044294646687
original_shape_Elongation_L5,0.630263516452334,0.630263516452334,0.6347412502167269,0.6347412502167269
original_shape_Elongation_Complete,0.43812779825570014,0.43812779825570014,0.43660351056058444,0.43660351056058444
original_shape_Flatness_L1,0.48429515713797233,0.48429515713797233,0.48431927079021136,0.48431927079021136
original_shape_Flatness_L2,0.4894348651433385,0.4894348651433385,0.4926973048459351,0.4926973048459351
original_shape_Flatness_L3,0.4823593292845245,0.4823593292845245,0.48299139184330053,0.48299139184330053
original_shape_Flatness_L4,0.479932780237573,0.479932780237573,0.48312593520246,0.48312593520246
original_shape_Flatness_L5,0.44022577337596547,0.44022577337596547,0.4438602304052379,0.4438602304052379
original_shape_Flatness_Complete,0.3449701613422609,0.3449701613422609,0.3446804242654763,0.3446804242654763
original_shape_LeastAxisLength_L1,39.287118993237385,39.287118993237385,39.37416081081954,39.37416081081954
original_shape_LeastAxisLength_L2,41.295810040879815,41.295810040879815,41.53225745350399,41.53225745350399
original_shape_LeastAxisLength_L3,43.023937756204006,43.023937756204006,42.883856008853286,42.883856008853286
original_shape_LeastAxisLength_L4,42.981055617555185,42.981055617555185,43.13145959733811,43.13145959733811
original_shape_LeastAxisLength_L5,38.113398831740426,38.113398831740426,38.2172570111952,38.2172570111952
original_shape_LeastAxisLength_Complete,67.18469970446725,67.18469970446725,67.19264579861681,67.19264579861681
original_shape_MajorAxisLength_L1,81.12226276515243,81.12226276515243,81.29794370266735,81.29794370266735
original_shape_MajorAxisLength_L2,84.37447550612413,84.37447550612413,84.29568630681061,84.29568630681061
original_shape_MajorAxisLength_L3,89.19478725542777,89.19478725542777,88.78803376844925,88.78803376844925
original_shape_MajorAxisLength_L4,89.55640745414178,89.55640745414178,89.27581082821257,89.27581082821257
original_shape_MajorAxisLength_L5,86.57693651023573,86.57693651023573,86.10200777912314,86.10200777912314
original_shape_MajorAxisLength_Complete,194.75510416047305,194.75510416047305,194.94186808492603,194.94186808492603
original_shape_Maximum2DDiameterColumn_L1,107.80661215806752,107.80661215806752,108.7025682873668,108.7025682873668
original_shape_Maximum2DDiameterColumn_L2,102.98664962022985,102.98664962022985,103.63635985253256,103.63635985253256
original_shape_Maximum2DDiameterColumn_L3,101.57547993979645,101.57547993979645,102.76933020708464,102.76933020708464
original_shape_Maximum2DDiameterColumn_L4,88.4987641156643,88.4987641156643,89.1327681127669,89.1327681127669
original_shape_Maximum2DDiameterColumn_L5,75.58366639029887,75.58366639029887,75.70272811322951,75.70272811322951
original_shape_Maximum2DDiameterColumn_Complete,191.34393118152445,191.34393118152445,191.9752826859355,191.9752826859355
original_shape_Maximum2DDiameterRow_L1,100.5958808798849,100.5958808798849,99.1235931955275,99.1235931955275
original_shape_Maximum2DDiameterRow_L2,104.4329928710271,104.4329928710271,104.71786908743317,104.71786908743317
original_shape_Maximum2DDiameterRow_L3,107.92430796627792,107.92430796627792,108.3752296941045,108.3752296941045
original_shape_Maximum2DDiameterRow_L4,106.7854156708677,106.7854156708677,104.55950655607508,104.55950655607508
original_shape_Maximum2DDiameterRow_L5,97.55006727317004,97.55006727317004,97.58689595566517,97.58689595566517
original_shape_Maximum2DDiameterRow_Complete,195.75574704207276,195.75574704207276,196.55735637594205,196.55735637594205
original_shape_Maximum2DDiameterSlice_L1,109.51954734201553,109.51954734201553,109.48399055892348,109.48399055892348
original_shape_Maximum2DDiameterSlice_L2,102.56857462205465,102.56857462205465,103.58935219146457,103.58935219146457
original_shape_Maximum2DDiameterSlice_L3,107.02292394622751,107.02292394622751,106.89239048239949,106.89239048239949
original_shape_Maximum2DDiameterSlice_L4,105.73034687354428,105.73034687354428,105.38286511480318,105.38286511480318
original_shape_Maximum2DDiameterSlice_L5,94.4267242363093,94.4267242363093,94.60571969990582,94.60571969990582
original_shape_Maximum2DDiameterSlice_Complete,109.51954734201553,109.51954734201553,109.48399055892348,109.48399055892348
original_shape_Maximum3DDiameter_L1,109.83830445249963,109.83830445249963,111.42983934618375,111.42983934618375
original_shape_Maximum3DDiameter_L2,107.30177945868371,107.30177945868371,107.38417727075118,107.38417727075118
original_shape_Maximum3DDiameter_L3,109.87563992987704,109.87563992987704,109.61700201604538,109.61700201604538
original_shape_Maximum3DDiameter_L4,106.79273149423607,106.79273149423607,105.5306612648142,105.5306612648142
original_shape_Maximum3DDiameter_L5,103.72740717862371,103.72740717862371,103.79829694796177,103.79829694796177
original_shape_Maximum3DDiameter_Complete,197.90405661582574,197.90405661582574,199.32964613525397,199.32964613525397
original_shape_MeshVolume_L1,97105.32633463538,97105.32633463538,95972.88503756831,95972.88503756831
original_shape_MeshVolume_L2,93234.67000325522,93234.67000325522,93130.58510523825,93130.58510523825
original_shape_MeshVolume_L3,91906.9315592448,91906.9315592448,90568.77497102576,90568.77497102576
original_shape_MeshVolume_L4,85091.3696289062,85091.3696289062,84182.13104638946,84182.13104638946
original_shape_MeshVolume_L5,70018.92089843749,70018.92089843749,69332.66238046056,69332.66238046056
original_shape_MeshVolume_Complete,437395.7519531249,437395.7519531249,433048.7556297978,433048.7556297978
original_shape_MinorAxisLength_L1,76.04906891693497,76.04906891693497,76.1035775618537,76.1035775618537
