,0,1,2,3
original_shape_MeshVolume_L3,1.296387645379215e-13,1.296387645379215e-13,1.9445814680688225e-13,1.9445814680688225e-13
original_shape_MeshVolume_L4,3.889162936137645e-13,3.889162936137645e-13,6.481938226896076e-14,6.481938226896076e-14
original_shape_MeshVolume_L5,6.481938226896076e-14,6.481938226896076e-14,1.296387645379215e-13,1.296387645379215e-13
original_shape_MeshVolume_Complete,5.18555058151686e-13,5.18555058151686e-13,5.18555058151686e-13,5.18555058151686e-13
original_shape_MinorAxisLength_L1,2.5320071198812795e-16,2.5320071198812795e-16,3.1650088998515995e-16,3.1650088998515995e-16
original_shape_MinorAxisLength_L2,2.5320071198812795e-16,2.5320071198812795e-16,1.8990053399109595e-16,1.8990053399109595e-16
original_shape_MinorAxisLength_L3,6.330017799703199e-17,6.330017799703199e-17,0.0,0.0
original_shape_MinorAxisLength_L4,2.5320071198812795e-16,2.5320071198812795e-16,2.8485080098664395e-16,2.8485080098664395e-16
original_shape_MinorAxisLength_L5,1.2660035599406398e-16,1.2660035599406398e-16,3.1650088998515994e-17,3.1650088998515994e-17
original_shape_MinorAxisLength_Complete,4.431012459792239e-16,4.431012459792239e-16,1.2660035599406398e-16,1.2660035599406398e-16
original_shape_Sphericity_L1,1.236331601504531e-18,1.236331601504531e-18,9.890652812036248e-19,9.890652812036248e-19
original_shape_Sphericity_L2,9.890652812036248e-19,9.890652812036248e-19,9.890652812036248e-19,9.890652812036248e-19
original_shape_Sphericity_L3,1.7308642421063434e-18,1.7308642421063434e-18,1.4835979218054371e-18,1.4835979218054371e-18
original_shape_Sphericity_L4,4.945326406018124e-19,4.945326406018124e-19,1.4835979218054371e-18,1.4835979218054371e-18
original_shape_Sphericity_L5,-2.472663203009062e-19,-2.472663203009062e-19,9.890652812036248e-19,9.890652812036248e-19
original_shape_Sphericity_Complete,7.417989609027186e-19,7.417989609027186e-19,4.945326406018124e-19,4.945326406018124e-19
original_shape_SurfaceArea_L1,6.481938226896076e-14,6.481938226896076e-14,3.240969113448038e-14,3.240969113448038e-14
original_shape_SurfaceArea_L2,3.240969113448038e-14,3.240969113448038e-14,9.722907340344113e-14,9.722907340344113e-14
original_shape_SurfaceArea_L3,-1.620484556724019e-14,-1.620484556724019e-14,9.722907340344113e-14,9.722907340344113e-14
